species,file,taxonomy,shallow_db,broad_db,mode,uniprot,mcl_test
Toxoplasma_gondii,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Toxoplasma_gondii.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Cryptosporidium_muris,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Cryptosporidium_muris.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,FALSE
Gregarina_niphandrodes,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Gregarina_niphandrodes.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,FALSE
Platyophrya_macrostoma,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00331_Platyophrya_macrostoma.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Stentor_coeruleus,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Stentor_coeruleus.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,FALSE
Paramecium_tetraurelia,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Paramecium_tetraurelia.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,FALSE
Tetrahymena_thermophila,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Tetrahymena_thermophila.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,FALSE
Oxytricha_trifallax,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Oxytricha_trifallax.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Vitrella_brassicaformis,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Vitrella_brassicaformis.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Colponemidia_sp_Colp-15,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00743_Colponemidia_sp_Colp-15.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,FALSE,TRUE
Hematodinium_sp_SG-2012,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00397_Hematodinium_sp_SG-2012.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Oxyrrhis_marina,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00451_Oxyrrhis_marina.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Amoebophrya_sp_A120,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Amoebophrya_sp_A120.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Perkinsus_marinus,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Perkinsus_marinus.fasta,Alveolata,alveolata_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Bigelowiella_longifila,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00465_Bigelowiella_longifila.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,FALSE,TRUE
Paulinella_micropora,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00808_Paulinella_micropora.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Mataza_sp_D1,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00462_Mataza_sp_D1.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Brevimastigomonas_motovehiculus,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00823_Brevimastigomonas_motovehiculus.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Plasmodiophora_brassicae,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Plasmodiophora_brassicae.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Leptophrys_vorax,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00475_Leptophrys_vorax.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Lapot_gusevi,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00455_Lapot_gusevi.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,FALSE,TRUE
Reticulomyxa_filosa,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Reticulomyxa_filosa.fasta,Rhizaria,alveolata_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Triparma_laevis,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00519_Triparma_laevis.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Chlorochromonas_danica,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP01039_Chlorochromonas_danica.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Phaeodactylum_tricornutum,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Phaeodactylum_tricornutum.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,TRUE,FALSE
Nannochloropsis_salina,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Nannochloropsis_salina.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Aureococcus_anophagefferens,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Aureococcus_anophagefferens.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,TRUE,FALSE
Ectocarpus_siliculosus,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Ectocarpus_siliculosus.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,TRUE,FALSE
Chattonella_subsalsa,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00638_Chattonella_subsalsa.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Cafeteria_burkhardae,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Cafeteria_burkhardae.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,TRUE,TRUE
MAST-03A_sp_MAST-3A-sp1,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00938_MAST-03A_sp_MAST-3A-sp1.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Haloplacidia_sp_CaronLabIsolate,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00499_Haloplacidia_sp_CaronLabIsolate.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,FALSE,FALSE
Saprolegnia_diclina,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Saprolegnia_diclina.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Hondaea_fermentalgiana,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/Hondaea_fermentalgiana.fasta,Stramenopiles,stramenopiles_odb10,eukaryota_odb10,proteins,TRUE,TRUE
Telonema_subtile,s3://organism-selection-engines/sequence-data/aa-seqs/final-proteins/EP00656_Telonema_subtile.fasta,Telonemia,alveolata_odb10,eukaryota_odb10,proteins,FALSE,TRUE
